"","BoroName","NTAName","lng","lat"
"103","Brooklyn","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",-73.954155,40.586896
"104","Brooklyn","Homecrest",-73.958372,40.5942226
"105","Bronx","Westchester-Unionport",-73.8567991,40.833649
"106","Staten Island","Oakwood-Oakwood Beach",-74.1118086,40.5489942
"107","Staten Island","Grymes Hill-Clifton-Fox Hills",-74.071402,40.621319
"108","Brooklyn","Park Slope-Gowanus",-74.0053352,40.6566946
"109","Staten Island","Stapleton-Rosebank",-74.075162,40.627915
"110","Brooklyn","Crown Heights North",-73.9447994,40.6681032
"111","Queens","Fresh Meadows-Utopia",-73.7961384,40.7341196
"112","Queens","Bellerose",-73.7154014,40.7243707
"113","Brooklyn","Stuyvesant Heights",-73.9205908,40.683494
"114","Brooklyn","East Williamsburg",-73.9330429,40.7158762
"115","Queens","Ridgewood",-73.8977693,40.7108476
"116","Queens","Rego Park",-73.8624893,40.7255722
"117","Manhattan","East Harlem South",-73.9389213,40.7957399
"118","Brooklyn","Bushwick South",-73.9212858,40.6944282
"119","Manhattan","East Harlem North",-73.9389213,40.7957399
"120","Brooklyn","Bushwick North",-73.9212858,40.6944282
"121","Queens","Glendale",-73.8804427,40.698994
"122","Staten Island","Charleston-Richmond Valley-Tottenville",-74.229141,40.519631
"123","Staten Island","park-cemetery-etc-Staten Island",-74.1502007,40.5795317
"124","Staten Island","New Springville-Bloomfield-Travis",-74.1781995,40.6126039
"125","Staten Island","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",-74.1388166,40.5762469
"126","Queens","South Ozone Park",-73.8124984,40.6764003
"127","Queens","Lindenwood-Howard Beach",-73.8295754,40.661024
"128","Manhattan","Midtown-Midtown South",-73.9949553,40.7539227
"129","Manhattan","Murray Hill-Kips Bay",-73.9790002,40.7503039
"130","Staten Island","Mariner's Harbor-Arlington-Port Ivory-Graniteville",-74.1801442,40.6409366
"131","Brooklyn","Prospect Lefferts Gardens-Wingate",-74.0059413,40.7127837
"132","Brooklyn","Crown Heights South",-73.9447994,40.6681032
"133","Staten Island","Port Richmond",-74.1254641,40.6354914
"134","Queens","Hunters Point-Sunnyside-West Maspeth",-73.937478,40.748039
"135","Bronx","Claremont-Bathgate",-73.8957043,40.8494022
"136","Bronx","Van Nest-Morris Park-Westchester Square",-73.860495,40.854364
"137","Bronx","Pelham Parkway",-73.8639594,40.8553279
"138","Bronx","Mount Hope",-73.9051185,40.8488863
"139","Queens","Ft. Totten-Bay Terrace-Clearview",-73.7846302,40.7772521
"140","Queens","Whitestone",-73.8095574,40.7920449
"141","Manhattan","Turtle Bay-East Midtown",-73.9653854,40.7791964
"142","Manhattan","Lenox Hill-Roosevelt Island",-73.9499644,40.7621612
"143","Queens","Elmhurst-Maspeth",-73.912637,40.723158
"144","Queens","Woodside",-73.90297,40.74584
"145","Queens","St. Albans",-73.7654367,40.6894086
"146","Queens","Laurelton",-73.7448437,40.6740861
"147","Brooklyn","Brooklyn Heights-Cobble Hill",-73.9953261,40.7047531
"148","Queens","Jamaica",-73.7889689,40.702677
"149","Queens","Richmond Hill",-73.8272029,40.6958108
"150","Queens","Briarwood-Jamaica Hills",-73.8418122,40.7519711
"151","Queens","Kew Gardens",-73.8272029,40.705695
"152","Queens","Middle Village",-73.87425,40.717372
"153","Queens","Maspeth",-73.9065883,40.7294018
"154","Manhattan","Upper West Side",-73.9753676,40.7870106
"155","Manhattan","Lincoln Square",-73.9844722,40.773828
"156","Bronx","Bronxdale",-73.8665241,40.8506558
"157","Queens","Oakland Gardens",-73.758241,40.7408584
"158","Queens","Douglas Manor-Douglaston-Little Neck",-73.74941,40.76806
"159","Staten Island","Annadale-Huguenot-Prince's Bay-Eltingville",-74.191794,40.533674
"160","Staten Island","Great Kills",-74.156292,40.5543273
"161","Brooklyn","Seagate-Coney Island",-73.9683102,40.5773796
"162","Queens","Corona",-73.8642613,40.7449859
"163","Bronx","Schuylerville-Throgs Neck-Edgewater Park",-73.812592,40.821087
"164","Brooklyn","Gravesend",-73.977126,40.5910166
"165","Bronx","East Tremont",-73.89955,40.847301
"166","Bronx","North Riverdale-Fieldston-Riverdale",-73.914126,40.903981
"167","Bronx","Bedford Park-Fordham North",-73.887138,40.873244
"168","Bronx","Belmont",-73.88601,40.8523198
"169","Bronx","Eastchester-Edenwald-Baychester",-73.838591,40.878663
