"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old.Town.Dongan.Hills.South.Beach","Flatbush","Melrose.South.Mott.Haven.North","Ocean.Hill","Morningside.Heights","Soundview.Bruckner","Allerton.Pelham.Gardens","Jamaica.Estates.Holliswood","Hollis","Flatlands","East.New.York","Kingsbridge.Heights","Norwood","Manhattanville","Grasmere.Arrochar.Ft..Wadsworth","Queens.Village","Springfield.Gardens.North","Canarsie","Bensonhurst.West","West.New.Brighton.New.Brighton.St..George","West.Village","East.Village","Chinatown","Pelham.Bay.Country.Club.City.Island","Woodlawn.Wakefield","Old.Astoria","Van.Cortlandt.Village","Astoria","Stuyvesant.Town.Cooper.Village","Dyker.Heights","New.Brighton.Silver.Lake","Westerleigh","Co.op.City","University.Heights.Morris.Heights","distance.matrix[, ncol(distance.matrix)]","Bayside.Bayside.Hills","North.Corona","Kew.Gardens.Hills","Pomonok.Flushing.Heights.Hillcrest","North.Side.South.Side","Lower.East.Side","Greenpoint","Spuyten.Duyvil.Kingsbridge","Sunset Park East","Marble Hill-Inwood","Fort Greene","Washington Heights North","Steinway","Mott Haven-Port Morris","Prospect Heights","Central Harlem North-Polo Grounds","Queensbridge-Ravenswood-Long Island City","Cypress Hills-City Line","New Dorp-Midland Beach","Bay Ridge","Sunset Park West","Baisley Park","SoHo-TriBeCa-Civic Center-Little Italy","Battery Park City-Lower Manhattan","Clinton","West Brighton","South Jamaica","Ozone Park","Georgetown-Marine Park-Bergen Beach-Mill Basin","Brighton Beach","Bensonhurst East","West Farms-Bronx River","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Homecrest","Westchester-Unionport","Oakwood-Oakwood Beach","Grymes Hill-Clifton-Fox Hills","Park Slope-Gowanus","Stapleton-Rosebank","Crown Heights North","Fresh Meadows-Utopia","Bellerose","Stuyvesant Heights","East Williamsburg","Ridgewood","Rego Park","East Harlem South","Bushwick South","East Harlem North","Bushwick North","Glendale","Charleston-Richmond Valley-Tottenville","park-cemetery-etc-Staten Island","New Springville-Bloomfield-Travis","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","South Ozone Park","Lindenwood-Howard Beach"
"21","Starrett City",40.6490524,-73.8802271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4988,6715,5032,3998,4711,5322,4641,4653,3744,3231,5838,5814,5131,5221,5421,3084,5582,4600,5079,5963,6191,4807,3491,2605,558,5412,6080,5100,4810,2734,3859,1398,4848,5536,3905,3497,3773,6013,5141,3791,6292,4590,3194,4336,5653,5662,6478,6161,4732,4205,3630,3932,4823,5894,3664,3651,5032,3626,5406,2744,4734,5463,5464,2740,3011,3713,1947,5829,3995,3124,4482,3731,3706,4540,5926,4414,2038,2224,4167,5219,5259,3366,3418,6022,6098,5624,3364,5471,2218,4455,3604,2256,3361,4039,3627,5090,2985,4575,2985,3273,6030,6393,6428,6115,2731,2951
"22","Central Harlem South",40.7941784,-73.9210386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3607,2167,2781,5404,1645,1534,1186,4087,5683,2737,2450,2468,4726,4233,3557,1071,5076,1672,2825,2498,4339,4075,4825,4583,2269,2937,2100,4337,4823,4968,4271,4354,4843,2361,2340,2803,2366,1911,3694,2812,2678,2176,4839,4963,4840,3799,1371,1746,3552,3081,3755,3438,2533,2877,3263,1671,3680,1251,3424,1940,2123,1296,3146,1986,2087,3846,4635,3674,3650,4496,2443,2637,2401,5176,4032,3908,5069,4302,4384,2054,4176,4228,2169,5552,4336,3680,4220,3451,4105,5199,3920,3033,3660,3293,1214,3928,1008,4083,4019,5307,5678,5210,5441,4721,4925
"23","College Point",40.786395,-73.8389657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,2792,3566,2536,3710,3820,5387,7002,4366,2897,2437,6638,5867,5457,3963,6304,5072,2162,2800,3436,3634,6784,6468,4111,4390,4824,5948,3752,5141,5487,5714,7271,3374,3626,3640,2803,3644,3574,5277,3128,3590,5749,7359,7236,2856,4036,4820,2789,1801,2767,1675,5737,4684,3551,4628,5472,4261,4644,4738,3067,3626,4733,4040,2851,5432,6277,6361,5490,4506,4433,4841,3764,7495,5038,5211,7222,5872,5984,2899,5340,6143,2550,7531,6531,4827,6125,5411,3347,3908,5940,4634,4119,3095,3569,5621,3186,5621,5492,7332,6715,6613,6734,5459,4522
"24","Morrisania-Melrose",40.825761,-73.915231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,5888,1281,2153,1775,3929,5945,3957,1644,2968,4898,4717,4041,0,5008,1891,2171,2217,4823,4289,5444,4816,1883,1416,1826,4451,5277,5174,4725,4556,5327,2582,2636,2848,2331,840,3005,2545,2642,2795,5531,5447,5324,3816,2395,2564,3568,3235,4209,3924,2122,2985,3687,1803,3732,1847,3908,1424,2653,1360,3303,2440,2284,4528,5089,4693,3822,4812,2417,3121,2096,5630,4654,4260,5523,4684,4556,1629,4123,4727,1729,6051,4586,3672,4704,3757,4469,5297,4234,3517,4527,3777,971,3955,1693,3955,4503,8309,5441,5339,6136,5205,5037
"25","Elmhurst",40.737975,-73.8801301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3293,2976,2385,2097,3588,3441,2494,3822,1476,4707,5314,3928,3258,4847,3055,3677,3859,2160,2390,4733,3780,3600,4131,3078,5268,1791,2947,4191,4395,5436,2451,2989,2987,3997,3439,1030,4819,1704,2727,5340,5903,5780,4600,2785,2776,2256,932,1794,1849,4061,2813,2410,3145,4411,2875,2844,3179,1448,3223,3817,2684,1133,2343,5439,5312,4441,2333,2562,3382,1845,5848,1943,2154,5358,4163,4275,3516,3932,4614,3905,5878,4413,3541,5301,3762,2480,3140,3085,1991,1442,1054,2583,2944,2583,2944,2658,6065,6458,5660,5752,2521,2519
"26","Glen Oaks-Floral Park-New Hyde Park",40.7471504,-73.7118223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5027,4346,4058,5789,4894,4695,5843,3409,6698,7517,5809,5640,6396,4972,4373,6000,1676,2078,6042,4962,5591,6002,5219,7520,1281,3650,3081,6866,8179,4862,4438,4469,5077,6687,3541,6485,3961,4676,6349,7779,7656,5857,5715,5023,2359,3106,2199,3022,6166,5073,4599,5698,5507,5677,4531,4858,3727,5352,4949,3749,3292,4013,7884,6781,4707,3630,4116,4820,4383,8087,3538,4228,6775,5858,6000,4321,4656,5128,4092,8935,7831,5490,7025,5203,1973,1193,4422,4917,3790,3063,4712,4909,4905,4718,4222,8292,7882,7577,7924,4314,4103
"27","Longwood",40.8248438,-73.8915875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,1426,4192,5908,3698,1121,2709,4951,4458,3782,1477,5301,1739,1710,1103,4460,4554,5385,4808,2044,1771,1916,4532,5018,5081,4406,4549,5098,2352,2625,2518,1436,1859,3043,3219,2383,2401,5114,5188,5065,1969,2073,1806,3787,3276,3767,3125,2781,3188,3458,1919,4145,1754,3889,2163,2701,1352,3551,2331,2432,4281,5086,4127,4295,4626,2158,2832,2596,5787,4363,4103,5067,4857,4579,180,4236,4768,940,5792,4327,3905,4528,3676,4360,5038,4145,3258,3885,3518,1479,4153,1599,3866,4244,8099,5903,5509,6444,4946,5360
"28","Yorkville",40.7762231,-73.9492079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,3464,5060,3030,2528,2554,3561,3730,3114,1431,4633,1914,1656,2775,4035,4333,4717,3722,2396,3064,3216,3774,4550,4533,3828,3911,4500,1918,2149,2180,2673,2935,3073,3121,1865,1793,3364,4520,4397,2740,2805,1482,3139,2638,3402,2907,2743,2490,2850,3159,3297,2369,3041,2002,2661,1929,2763,1603,1704,3673,4252,4138,3267,3898,1820,2164,1928,4583,3799,3465,4549,3979,3941,2162,3748,3800,2461,5124,3659,3057,3860,3008,3812,3734,3477,2590,3188,3000,890,3198,1014,3580,3576,5369,5053,5296,4938,3841,4302
"29","Upper East Side-Carnegie Hill",40.784774,-73.9492428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,4760,2820,1988,2251,4133,3430,3174,891,3875,1823,1681,2415,3825,3736,4417,3422,2096,2764,2537,3474,4290,4199,3828,3761,4200,1918,1849,1880,2133,3920,2308,2787,1565,1733,3064,4220,4097,2765,2503,993,3109,1978,3192,2757,2383,2190,2820,2459,3340,1789,2741,1646,1966,1389,2836,1753,1309,3920,3952,3838,3400,3657,1520,1864,1631,5484,3499,3165,4249,3679,3761,1622,3358,3860,1921,4824,3359,2967,3560,2708,3512,3434,3387,2590,2978,2700,785,3160,1035,3280,3576,5069,5278,4831,4638,3920,4002
"30","Windsor Terrace",40.6539346,-73.9756567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4047,4484,4785,3821,2036,3790,1282,3966,2124,3538,5160,4702,5223,3424,2908,3757,4383,4674,3621,2875,5737,3625,3079,1759,4069,2124,2189,1981,4960,5608,3487,5002,3552,2520,2701,4016,3780,6018,4099,3270,3947,3455,5007,3664,4694,1657,2653,3832,1444,4244,1677,3182,4189,4126,1841,1699,2461,2360,4759,2315,1444,5470,1851,2125,2808,4191,3446,2332,3701,1826,1789,4329,1865,2696,4418,5128,3113,1384,3188,2297,4899,3706,2294,2627,3739,3937,3546,2754,3546,2598,3821,4780,5106,5993,4944,3265,2989
"31","Hammels-Arverne-Edgemere",40.5925731,-73.7783688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6055,6492,4414,5384,5488,4008,5649,5486,4996,6348,6280,3472,4232,4410,3150,5871,6342,5289,5862,2226,1919,3013,4596,7987,3762,3812,3759,6358,5530,4184,6400,4860,3738,4924,5897,6041,6572,5827,5028,5671,5633,3797,4983,6212,3325,3955,6935,4162,5852,3340,5120,5159,5284,3126,3367,4069,2745,5602,4883,4012,2455,3877,3879,4626,6318,2983,1510,4665,4483,4596,5577,4051,4694,5756,7212,6075,4042,5371,3417,3292,4613,2582,3635,3615,3289,5051,2940,4961,2940,3691,6802,6872,7178,7168,2263,1177
"32","Rikers Island",40.7931277,-73.88601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597,2446,5704,5211,4475,3273,5626,2994,4344,3904,4275,4505,5561,5520,3615,4935,3246,5435,3392,5115,4829,5452,7022,3345,3600,3706,3892,5250,3268,4986,1818,3304,5689,6001,5878,5267,4026,3383,3180,2679,4020,2948,3765,3761,3174,2903,4791,2663,3511,3539,1255,3917,4364,2904,2154,4734,5553,5049,4731,4513,3379,3915,3169,6304,4235,4951,6023,5340,5242,3747,4899,5161,3248,6307,5140,4478,5296,4429,4778,4260,4868,3675,4245,3526,3250,4881,3250,4881,5180,6285,6346,6244,6389,4367,5938
"33","Hunts Point",40.8120246,-73.8801301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3291,6450,5417,4334,1981,5712,2698,2359,2332,5506,5422,5767,5589,3403,2979,3672,5331,4528,6416,5665,5701,6237,3581,3789,4094,2367,2848,4068,4062,3342,3270,5934,6147,5730,2892,2995,2765,4806,3738,4256,3743,3531,3969,3938,2651,5104,3334,4818,2671,3460,1889,4450,3968,3129,5720,5592,5026,5294,5687,3735,4061,3846,6223,5624,4685,6731,5486,6138,1598,5435,5620,2006,6166,5499,5224,5502,4635,5242,5134,5087,4290,4767,4460,2016,4980,2531,4825,5203,6491,6690,6588,6715,5421,5702
"34","Jackson Heights",40.7556818,-73.8830701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967,4924,4188,3617,5086,2822,3455,4133,3005,3109,5527,4411,3729,4331,3535,5178,2531,3556,3424,4524,5553,2610,3339,3119,3738,3936,1738,5229,1667,2987,5470,5843,5720,3852,3084,2921,3327,982,2268,1663,4558,3174,2475,3666,3974,4118,2933,2878,1110,3296,3739,2928,1698,3452,5683,5556,4281,3014,2662,3508,2384,5634,2796,3134,6133,5181,4544,3550,4146,4874,3271,6271,5303,3614,4715,3891,2987,2731,4214,2712,2155,1757,2818,3897,2767,4269,2999,6342,5609,5507,6485,3681,3841
"35","Bath Beach",40.602196,-74.0035709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,2874,5005,1920,4337,4880,5492,4788,4076,3595,4422,5578,5683,4630,2336,3671,4247,3222,629,3545,3163,3166,2919,6059,5901,5131,6071,4351,3408,1173,2501,2645,6123,5528,4369,5196,4764,4695,5063,5733,3239,3512,4931,2010,5343,2911,4221,4470,5165,2579,2889,3920,3771,2266,1938,1913,4415,2950,2328,3508,3309,4035,3611,2932,1499,689,5428,1478,1800,5457,3664,2199,1853,2404,2824,4858,4358,3405,4236,4838,5126,4585,4266,4585,4266,5469,3579,4171,5205,3940,4557,4298
"36","Old Town-Dongan Hills-South Beach",40.588849,-74.09609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922,4941,3922,4456,4960,5572,6499,6410,5169,5199,5163,5831,4807,391,4483,5059,5445,2707,1462,3893,3622,3671,5478,4582,5155,6010,4328,3178,2445,1834,1460,5864,5647,4252,6034,5126,7060,5725,5832,3688,4714,4910,2065,5252,3639,4109,4729,4370,3627,2585,3822,4427,300,2085,2125,6677,3549,2893,4144,1586,4937,4279,4965,4406,2720,6090,4166,4168,4898,2169,420,2515,540,3795,6653,5402,4355,4806,5754,5697,4253,4585,4253,4585,5263,1380,1874,3806,1643,5182,5171
"37","Flatbush",40.6409217,-73.9624327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,1921,3249,5201,5013,3984,3023,1874,2451,4304,4835,3600,3601,2618,3194,1911,2303,4020,2350,2455,1823,5001,3933,4353,5258,3263,2261,2255,4388,4265,5155,4440,3526,3831,3676,3857,4005,4795,2377,3431,3903,1965,4195,1649,3378,3900,4077,1204,1888,2892,2371,4640,2896,2025,3302,1973,2308,2726,4421,3282,2642,2208,1387,2183,4400,981,1088,4459,5294,3829,2152,4090,1801,3805,3305,2253,3118,4175,4308,3587,2927,3587,2867,4104,5599,5054,5805,4895,3485,3269
"38","Melrose South-Mott Haven North",40.825761,-73.915231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,1891,2171,2217,4823,4289,5444,4816,1883,1416,1826,4451,5277,5174,4725,4556,5327,2582,2636,2848,2331,840,3005,2545,2642,2795,5531,5447,5324,3816,2395,2564,3568,3235,4209,3744,2122,2985,3687,1803,3732,1847,3908,1424,2653,1360,3303,2440,2284,4300,5089,4693,3822,4812,2417,3121,2096,5630,4654,4260,5523,4654,4556,1629,4123,4727,1729,6051,4586,3672,4704,3757,4469,5297,4234,3517,4527,3777,971,3955,1693,3955,4503,8309,5441,5339,6136,5205,5037
"39","Ocean Hill",40.5839897,-73.967075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4470,5502,6230,5372,4660,2473,3717,5399,5510,4711,4339,3603,4355,2810,1719,4481,3050,3307,3052,6016,6064,5179,5418,4338,3607,1993,4607,4307,6666,5711,4146,5269,4989,5511,4581,5560,3221,3767,5543,1944,5050,2474,4028,5035,4882,2841,3525,3519,3748,4758,3178,2215,4277,2837,3157,3968,4952,4143,3956,2733,642,1779,5195,546,987,5590,5279,3904,2322,3842,2442,5825,4942,2840,4755,5213,5023,5108,4088,4718,4611,5161,5646,5934,6678,6334,4799,4763
"40","Morningside Heights",40.8089564,-73.9624327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091,2550,4325,3306,4750,4179,2037,2704,600,4464,3171,4593,4118,3961,4735,1704,2247,2253,2831,3371,3247,2075,2187,2113,4766,5067,4944,3592,1472,1238,3139,2928,3351,2451,2732,2543,2811,1494,3827,1317,3155,779,2492,2677,2633,2174,1964,3603,4168,4079,3600,4103,1948,2626,1529,5049,3655,3665,5021,3909,4021,2200,3528,3910,2649,5664,4399,3077,4400,3161,4075,4903,3567,2880,4262,3530,1785,3690,1785,3506,3866,5909,4873,4771,5599,3976,4416
"41","Soundview-Bruckner",40.8251988,-73.8668046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,4130,4328,6919,5702,3276,3026,3087,5497,4646,6679,5971,5514,7572,4001,3932,3963,1426,3267,3719,4039,2718,2946,5325,6123,6000,1948,2553,3099,3579,2892,3463,2890,3746,4202,4843,2884,4697,2704,3834,2712,2695,2122,4296,3836,2691,5235,5855,4894,5110,6417,3603,3857,3223,6366,5241,5008,6964,5612,5784,1155,5621,5673,908,6219,5052,5126,5456,4687,4122,4466,5350,4553,5030,4393,2129,5249,1880,5049,5465,6273,7120,7335,6647,5838,5831
"42","Allerton-Pelham Gardens",40.8569374,-73.8564634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5392,5382,5818,5385,1430,1505,2608,5360,5667,5991,5324,5377,5926,3414,3413,3682,1096,1400,4302,2307,3301,3229,5691,6016,5893,1300,1286,2325,4093,2686,3327,2631,2142,3870,4256,1719,4803,1549,4271,1791,3252,2735,4319,2979,3080,4959,5748,4667,4926,5519,3016,3720,3484,6319,5175,4901,5895,5325,5407,1538,5064,5416,1567,6382,5215,4523,5273,4504,4195,5267,4803,4086,4996,4346,2262,4694,2262,4694,5072,6360,6731,6366,6494,5716,5858
"43","Jamaica Estates-Holliswood",40.7187082,-73.7704497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,4255,4038,4755,5254,4201,4920,1403,2411,2848,4242,6829,3654,4199,3842,4800,5591,2655,5335,3135,3633,5022,7201,6040,4728,4874,3931,2203,2650,2159,2500,5090,3937,3528,4288,3508,5161,3332,3854,3435,4378,3473,3827,2456,3301,6499,5168,3808,2358,3721,3558,3168,5887,2365,3398,5340,3955,4122,4026,3814,4286,3857,6507,5332,3568,5160,3517,1411,1599,3467,4526,3821,2184,3858,3655,3876,3685,3300,7561,7036,6934,6997,2448,2203
"44","Hollis",40.7112203,-73.762495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685,3124,5440,5060,3569,4350,462,2140,2278,3672,7167,3842,4459,2771,5148,5482,2965,5733,2412,3063,4452,5374,5251,5076,5153,4591,2551,1835,2302,3241,5410,4335,4247,4548,2938,4218,2762,3988,3786,4452,2903,3431,2940,2800,5058,4598,3238,2082,2829,2988,3356,5317,1546,3134,4770,3385,3552,4919,3244,3716,4205,5937,4606,2998,4590,2883,1754,1947,3218,4516,3811,2667,4060,3406,4237,2861,2683,5677,6967,6865,7275,2662,2069
"45","Flatlands",40.6268432,-73.9330429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853,5775,6031,4830,5071,3241,3796,1446,2720,4784,3053,3679,3413,5871,5039,3827,6303,4532,3784,3264,5164,5041,5931,5666,4859,5017,5086,4325,4884,5655,3060,4660,4953,3280,5515,2588,4132,5280,4947,2910,2966,3948,2646,4704,4394,3640,5320,3064,3048,3968,5651,5012,3068,1272,2022,2769,5426,1315,1920,5239,5827,4362,3375,4380,1822,5233,3508,2421,3771,3784,4328,4320,3383,4319,3383,3791,5741,6104,6338,5916,4483,3878
"46","East New York",40.6568312,-73.8830701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5094,6021,5038,4226,2120,3130,1080,5018,4854,3332,2883,3215,5789,5523,3519,5783,4081,2779,4566,5547,5424,5681,4992,4223,3636,3061,3552,2948,5261,2655,3086,5966,2915,4897,2235,4165,4295,5085,2111,2577,3279,1438,5100,4018,3528,3905,3330,2768,4061,5097,3492,2212,2309,3878,4658,4626,3499,3819,5427,5359,4192,2431,4760,1585,3886,3035,2300,2856,3310,3134,4585,2416,4705,2416,3257,5337,6287,6764,5392,2514,1691
"47","Kingsbridge Heights",40.869861,-73.8982492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,2460,4582,5408,5553,4856,5127,5458,3093,2925,3184,3046,1053,3403,1593,2833,2761,5582,5578,5455,2606,633,2175,4077,3336,4310,3845,2212,3548,3788,1056,4265,942,4009,1668,2754,2001,3671,2511,2612,4371,5160,5166,4175,5081,2548,3252,2986,5851,4827,4463,5624,5195,5067,2380,4806,4858,2787,6182,4966,4183,4835,4066,4600,5428,4365,3648,4275,3908,1824,4256,1824,4256,4634,8440,6293,6354,6267,5336,5248
"48","Norwood",40.8771463,-73.8786601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584,5564,4438,5989,5498,5191,6814,3217,3597,3483,2980,954,3978,1719,3415,3373,5851,6220,5803,2218,1312,2593,4406,3618,4832,4173,2318,3620,4430,2630,4367,1652,4705,1815,3336,2819,4433,3243,2919,5163,5772,5328,4457,5417,3244,3984,2761,7154,5139,4805,6492,5019,5191,2547,4758,5410,3179,6586,5419,4307,5477,4768,5450,5044,4767,4290,5282,4460,2062,4590,2466,4710,5276,6564,6076,5974,6668,5530,5162
"49","Manhattanville",40.8169443,-73.9558333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413,3460,3796,4467,4209,5024,1993,2800,2501,3540,3630,3434,2094,2412,2402,5184,5356,5233,3951,1461,1794,3428,3217,3640,3606,3042,2638,3489,1513,3475,1336,3549,798,2717,2262,2922,2463,2253,3851,4457,4586,3715,4400,2262,2915,1818,5338,3944,3913,5584,4168,4209,2549,3986,4199,2869,5953,4284,3325,4275,3420,4364,4968,4055,3169,4079,3819,2193,3979,2253,3608,4155,5844,5012,4910,6646,4756,4480
"50","Grasmere-Arrochar-Ft. Wadsworth",40.603117,-74.084087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571,5147,5374,2725,2071,3674,3403,3452,5259,4363,4828,5658,4057,2907,1965,1147,1650,5542,5265,5149,4351,4150,5270,5423,6033,3386,4352,4579,1763,4299,3337,3890,4510,4151,3468,2426,3663,4269,671,1843,1883,4891,3754,2674,3925,1292,4635,4121,4746,4219,2365,5728,3862,3797,4679,2017,311,2273,431,3424,5458,4958,4052,3955,4810,5352,3931,4366,3931,4263,4941,1751,2435,2898,2264,4963,4748
"51","Queens Village",40.71745,-73.73646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2176,3570,4852,4370,2975,2609,5037,5570,3533,5931,2751,2961,4350,5212,5089,6067,5611,4568,2286,1733,2135,2998,5749,4656,4030,6513,2836,4116,2660,3886,3684,4350,2741,3269,2320,2371,4896,4436,3076,1843,2667,2826,2972,5155,1384,2169,4668,3283,3450,5169,3082,3554,4209,5775,4444,2836,4428,2721,1970,387,2431,4853,4254,3580,4535,2699,4535,2699,2521,5515,7651,7549,6080,3218,1531
"52","Springfield Gardens North",40.6626441,-73.7683784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571,4097,7962,4192,4737,4669,5888,5880,4122,6263,3717,4458,6242,5739,5616,6034,5422,4590,3791,2845,3694,3823,5620,4527,4164,5914,3363,5305,3187,4603,3472,4986,3409,4621,3245,3178,7177,6623,5752,755,4331,5147,3996,7660,1301,2565,5657,3750,6038,5189,4580,5052,5545,8121,6716,3303,4955,3128,2620,3419,3495,5155,4450,2757,4725,4101,4725,4071,3716,8091,7124,7022,6127,1588,1933
"53","Canarsie",40.6402325,-73.9060579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3330,5514,3009,3106,2875,5624,5796,3196,5798,3898,2536,3666,5421,5298,5640,5369,4265,2979,3831,2895,2291,5190,2826,2328,4292,3494,5040,2408,4056,4913,4796,2262,2632,3273,2056,4870,3837,4034,2753,2893,3373,3532,5872,2379,1808,1229,2728,3578,4909,2077,2129,5124,5935,5215,3009,4708,1805,4067,2534,2234,2547,2579,2789,4252,3316,4252,2201,2579,5937,6404,5936,6027,3091,2369
"54","Bensonhurst West",40.6112691,-73.9976946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707,2709,2984,2465,5635,5477,4718,5647,3927,2984,994,2663,2807,5699,5104,3945,4772,4370,4271,4639,5309,2815,3088,4507,1421,4919,2487,3797,4046,4741,2155,2492,3401,3347,2428,1518,1489,4335,2496,2786,3657,3471,3611,3187,2886,2146,0,5004,1580,2271,5033,3826,2361,1429,2566,2400,4434,3934,2981,3812,4414,4702,4161,3842,4161,3842,5045,3741,4333,5176,4374,4133,3874
