"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old Town-Dongan Hills-South Beach","Flatbush","Melrose South-Mott Haven North","Ocean Hill","Morningside Heights","Soundview-Bruckner","Allerton-Pelham Gardens","Jamaica Estates-Holliswood","Hollis","Flatlands","East New York","Kingsbridge Heights","Norwood","Manhattanville","Grasmere-Arrochar-Ft. Wadsworth","Queens Village","Springfield Gardens North","Canarsie","Bensonhurst West","West New Brighton-New Brighton-St. George","West Village","East Village","Chinatown","Pelham Bay-Country Club-City Island","Woodlawn-Wakefield","Old Astoria","Van Cortlandt Village"
"13","East Elmhurst",40.7737505,-73.8713099,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,3480,4933,4435,3485,5032,4403,5222,2770,2702,3650,1325,3716,3368,2568,2909,4041,4799,2201,3614,1249,4860,4817,4421,3290,5708,3011,3989,3891,3112,3023,5779,3883,3632,4387,3263,4981,3657,3636,4165,4548,5869,2844,3179,3472,3969,3202,1720,4554
"14","Brownsville",40.66308,-73.9095279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,3404,2296,4145,2475,3692,1409,3577,6028,4379,3462,4948,4359,3476,3660,2898,3327,5167,5072,3158,3668,3674,1989,4349,3470,3786,5760,5160,3107,2146,1765,1224,4691,5612,4137,3855,2101,2437,1132,2876,4485,2855,2594,2660,5500,6156,3042,5370
"15","East New York (Pennsylvania Ave)",40.6578028,-73.8899582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3608,2531,3754,2679,3463,814,4068,6257,4870,3896,4786,4558,3877,3889,2980,3556,5396,5614,3647,4919,4347,3383,4840,5118,4279,4981,5593,3942,2635,2554,475,5182,6105,4630,4331,2330,3616,1336,3489,4878,3084,2823,2908,5249,5511,3245,5863
"16","Kensington-Ocean Parkway",40.619358,-73.9698626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,6110,1855,1407,3774,4574,6294,4881,4430,6865,4656,4233,3945,1687,4932,5356,5670,4706,1899,3865,1378,4938,2067,4225,5245,5569,6138,3999,1699,3199,5430,5529,4576,4043,3594,4020,2959,1894,5239,2979,3014,2806,5815,6523,4760,6049
"17","Erasmus",40.6496327,-73.952894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358,1054,1548,2556,3398,5868,4415,4034,5881,3918,3237,2949,1719,3835,4561,4713,4470,3009,3686,1075,4295,2594,3307,4809,4801,4020,3059,2022,2168,4452,4953,3658,3479,2684,3230,2274,2637,4246,2660,2773,2412,4579,4081,3637,5131
"18","Cambria Heights",40.692158,-73.7330753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6105,6525,4976,4881,3862,5608,3177,2774,5646,4570,4282,5563,3295,5237,6007,3573,5225,5716,3483,4899,4942,4927,7123,6014,1834,1615,5673,4437,6061,6166,5383,7283,1595,1957,4607,4868,8261,4936,4968,5143,6542,6161,4393,6635
"19","East Flatbush-Farragut",40.6374152,-73.9470018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,2267,3726,6226,4346,4362,6209,4216,3535,3247,2053,4106,4934,5041,4798,2690,4014,1272,4623,2673,3635,5137,5129,4099,3387,1227,2015,4780,5281,3986,3807,3102,3588,1535,2865,4574,2988,3231,2890,5057,6305,4777,5459
"20","Ocean Parkway South",40.639679,-73.9736869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050,3666,5844,4371,3980,6293,4156,3783,3495,998,4452,5018,5220,4256,2457,4055,966,4526,2197,4031,5653,5427,5716,3587,2278,2946,4846,5137,4164,4363,6230,3758,2466,1929,4562,2587,2682,2387,5453,5973,4398,5607
"21","Starrett City",40.6490524,-73.8802271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4988,6715,5032,3998,4711,5322,4641,4653,3744,3231,5838,5814,5131,5221,5421,3084,5582,4600,5079,5963,6191,4807,3491,2605,558,5412,6080,5100,4810,2734,3859,1398,4848,5536,3905,3497,3773,6013,5141,3791,6292
"22","Central Harlem South",40.7941784,-73.9210386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3607,2167,2781,5404,1645,1534,1186,4087,5683,2737,2450,2468,4726,4233,3557,1071,5076,1672,2825,2498,4339,4075,4825,4583,2269,2937,2100,4337,4823,4968,4271,4354,4843,2361,2340,2803,2366,1911,3694,2812
