"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old.Town.Dongan.Hills.South.Beach","Flatbush","Melrose.South.Mott.Haven.North","Ocean.Hill","Morningside.Heights","Soundview.Bruckner","Allerton.Pelham.Gardens","Jamaica.Estates.Holliswood","Hollis","Flatlands","East.New.York","Kingsbridge.Heights","Norwood","Manhattanville","Grasmere.Arrochar.Ft..Wadsworth","Queens.Village","Springfield.Gardens.North","Canarsie","Bensonhurst.West","West.New.Brighton.New.Brighton.St..George","West.Village","East.Village","Chinatown","Pelham.Bay.Country.Club.City.Island","Woodlawn.Wakefield","Old.Astoria","Van.Cortlandt.Village","Astoria","Stuyvesant.Town.Cooper.Village","Dyker.Heights","New.Brighton.Silver.Lake","Westerleigh","Co.op.City","University.Heights.Morris.Heights","distance.matrix[, ncol(distance.matrix)]","Bayside.Bayside.Hills","North.Corona","Kew.Gardens.Hills","Pomonok.Flushing.Heights.Hillcrest","North.Side.South.Side","Lower.East.Side","Greenpoint","Spuyten.Duyvil.Kingsbridge","Sunset Park East","Marble Hill-Inwood","Fort Greene","Washington Heights North","Steinway","Mott Haven-Port Morris","Prospect Heights","Central Harlem North-Polo Grounds","Queensbridge-Ravenswood-Long Island City","Cypress Hills-City Line","New Dorp-Midland Beach","Bay Ridge","Sunset Park West","Baisley Park","SoHo-TriBeCa-Civic Center-Little Italy"
"11","Williamsbridge-Olinville",40.8554311,-73.8553609,0,0,0,0,0,0,0,0,0,0,0,3148,3472,5246,5436,5650,4832,6574,5429,5184,5739,2226,2952,1283,3912,5759,1156,2665,2287,4738,6934,3884,2161,3615,5857,5364,4988,2283,6027,2796,2095,160,5470,5460,5896,5463,1553,1598,2731,5438,4925,6069,5402,5455,6004,3492,3491,3760,1219,1778,4405,2410,3404,3332,5794,6119,5996,1403,1389,2465,4196,2789,3430,2734,2245,3973,4359,1822,4906,1652,4374,1894,3355,2838,4422,3082,3183,5062,5851,4770,5029,5622,3119
"12","Murray Hill",40.7627,-73.81454,0,0,0,0,0,0,0,0,0,0,0,0,2066,4907,4804,5816,4043,3788,4640,5286,5634,3612,1717,3127,1768,3119,3457,2406,2208,3870,5642,3482,3224,1553,4719,5260,3723,3369,4461,2696,2884,3790,2306,2504,5107,4427,3711,4563,3047,4665,3458,4231,2836,4347,6282,3017,3589,4060,3174,4001,1432,4370,1590,2225,4995,5418,5295,2991,3887,2765,628,640,1873,822,4954,3920,2934,4442,3919,3522,3620,2497,3080,3604,3248,2274,2474,2810,4783,4013,3759,3523,3544
"13","East Elmhurst",40.7737505,-73.8713099,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,3480,4933,4435,3485,5032,4403,5222,2770,2702,3650,1325,3716,3368,2568,2909,4041,4799,2201,3614,1249,4860,4817,4421,3290,5708,3011,3989,3891,3112,3023,5779,3883,3632,4387,3263,4981,3657,3636,4165,4548,5869,2844,3179,3472,3969,3202,1720,4554,1919,2872,5806,5915,5792,4550,2722,3371,2324,1792,2770,1942,3824,3149,2339,2962,4166,2602,3019,2805,1292,2955,3645,3039,1488,3358,5396,4977,4741,2996,2683
"14","Brownsville",40.66308,-73.9095279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,3404,2296,4145,2475,3692,1409,3577,6028,4379,3462,4948,4359,3476,3660,2898,3327,5167,5072,3158,3668,3674,1989,4349,3470,3786,5760,5160,3107,2146,1765,1224,4691,5612,4137,3855,2101,2437,1132,2876,4485,2855,2594,2660,5500,6156,3042,5370,4062,2490,3801,4454,4598,6176,4917,4243,4784,3725,2825,4096,4912,2756,2707,4050,2502,4642,2426,3872,4707,3984,1698,2487,2761,1596,5063,3403,2532,3574,2573
"15","East New York (Pennsylvania Ave)",40.6578028,-73.8899582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3608,2531,3754,2679,3463,814,4068,6257,4870,3896,4786,4558,3877,3889,2980,3556,5396,5614,3647,4919,4347,3383,4840,5118,4279,4981,5593,3942,2635,2554,475,5182,6105,4630,4331,2330,3616,1336,3489,4878,3084,2823,2908,5249,5511,3245,5863,4291,2719,4676,4998,4875,5763,5468,4084,3278,3954,3194,5168,5345,2333,2936,4511,2995,5223,2096,4103,4205,4895,2192,2255,2991,1191,4778,3897,3026,3546,3047
"16","Kensington-Ocean Parkway",40.619358,-73.9698626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,6110,1855,1407,3774,4574,6294,4881,4430,6865,4656,4233,3945,1687,4932,5356,5670,4706,1899,3865,1378,4938,2067,4225,5245,5569,6138,3999,1699,3199,5430,5529,4576,4043,3594,4020,2959,1894,5239,2979,3014,2806,5815,6523,4760,6049,4329,3067,2222,4088,4232,6119,5416,4125,5162,4490,5194,4969,5519,2572,3538,4687,2202,5201,2655,4067,4906,4921,2180,2584,3346,3575,4370,2857,2559,6355,2706
"17","Erasmus",40.6496327,-73.952894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358,1054,1548,2556,3398,5868,4415,4034,5881,3918,3237,2949,1719,3835,4561,4713,4470,3009,3686,1075,4295,2594,3307,4809,4801,4020,3059,2022,2168,4452,4953,3658,3479,2684,3230,2274,2637,4246,2660,2773,2412,4579,4081,3637,5131,3666,2664,3390,4266,4143,5003,3511,3594,4427,3676,3680,4245,4675,1994,2787,3813,2356,4343,2127,3446,4303,3775,1339,2128,2423,2537,4118,3044,2023,3338,2205
"18","Cambria Heights",40.692158,-73.7330753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6105,6525,4976,4881,3862,5608,3177,2774,5646,4570,4282,5563,3295,5237,6007,3573,5225,5716,3483,4899,4942,4927,7123,6014,1834,1615,5673,4437,6061,6166,5383,7283,1595,1957,4607,4868,8261,4936,4968,5143,6542,6161,4393,6635,3873,4826,6405,8055,7932,5476,5102,4160,3554,3447,3793,4266,6310,5032,4655,5600,4290,5706,4739,5084,3843,5438,4643,3602,3588,3448,5904,6721,4350,1695,3782
"19","East Flatbush-Farragut",40.6374152,-73.9470018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,2267,3726,6226,4346,4362,6209,4216,3535,3247,2053,4106,4934,5041,4798,2690,4014,1272,4623,2673,3635,5137,5129,4099,3387,1227,2015,4780,5281,3986,3807,3102,3588,1535,2865,4574,2988,3231,2890,5057,6305,4777,5459,4129,3307,3088,4594,4927,6025,4646,4272,4933,4272,4448,4631,5031,2350,2812,4169,3010,4671,2455,4119,4436,4103,1667,2456,3668,3030,4446,3383,2351,4190,2554
"20","Ocean Parkway South",40.639679,-73.9736869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050,3666,5844,4371,3980,6293,4156,3783,3495,998,4452,5018,5220,4256,2457,4055,966,4526,2197,4031,5653,5427,5716,3587,2278,2946,4846,5137,4164,4363,6230,3758,2466,1929,4562,2587,2682,2387,5453,5973,4398,5607,3887,2705,2880,4363,4507,5639,4916,3763,4800,3966,5500,4325,5157,2150,3194,4325,2163,4407,2278,3675,4464,4559,1768,2192,3032,3183,4991,2808,2223,4270,2374
"21","Starrett City",40.6490524,-73.8802271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4988,6715,5032,3998,4711,5322,4641,4653,3744,3231,5838,5814,5131,5221,5421,3084,5582,4600,5079,5963,6191,4807,3491,2605,558,5412,6080,5100,4810,2734,3859,1398,4848,5536,3905,3497,3773,6013,5141,3791,6292,4590,3194,4336,5653,5662,6478,6161,4732,4205,3630,3932,4823,5894,3664,3651,5032,3626,5406,2744,4734,5463,5464,2740,3011,3713,1947,5829,3995,3124,4482,3731
"22","Central Harlem South",40.7941784,-73.9210386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3607,2167,2781,5404,1645,1534,1186,4087,5683,2737,2450,2468,4726,4233,3557,1071,5076,1672,2825,2498,4339,4075,4825,4583,2269,2937,2100,4337,4823,4968,4271,4354,4843,2361,2340,2803,2366,1911,3694,2812,2678,2176,4839,4963,4840,3799,1371,1746,3552,3081,3755,3438,2533,2877,3263,1671,3680,1251,3424,1940,2123,1296,3146,1986,2087,3846,4635,3674,3650,4496,2443
"23","College Point",40.786395,-73.8389657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,2792,3566,2536,3710,3820,5387,7002,4366,2897,2437,6638,5867,5457,3963,6304,5072,2162,2800,3436,3634,6784,6468,4111,4390,4824,5948,3752,5141,5487,5714,7271,3374,3626,3640,2803,3644,3574,5277,3128,3590,5749,7359,7236,2856,4036,4820,2789,1801,2767,1675,5737,4684,3551,4628,5472,4261,4644,4738,3067,3626,4733,4040,2851,5432,6277,6361,5490,4506,4433
"24","Morrisania-Melrose",40.825761,-73.915231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,5888,1281,2153,1775,3929,5945,3957,1644,2968,4898,4717,4041,0,5008,1891,2171,2217,4823,4289,5444,4816,1883,1416,1826,4451,5277,5174,4725,4556,5327,2582,2636,2848,2331,840,3005,2545,2642,2795,5531,5447,5324,3816,2395,2564,3568,3235,4209,3924,2122,2985,3687,1803,3732,1847,3908,1424,2653,1360,3303,2440,2284,4528,5089,4693,3822,4812,2417
"25","Elmhurst",40.737975,-73.8801301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3293,2976,2385,2097,3588,3441,2494,3822,1476,4707,5314,3928,3258,4847,3055,3677,3859,2160,2390,4733,3780,3600,4131,3078,5268,1791,2947,4191,4395,5436,2451,2989,2987,3997,3439,1030,4819,1704,2727,5340,5903,5780,4600,2785,2776,2256,932,1794,1849,4061,2813,2410,3145,4411,2875,2844,3179,1448,3223,3817,2684,1133,2343,5439,5312,4441,2333,2562
"26","Glen Oaks-Floral Park-New Hyde Park",40.7471504,-73.7118223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5027,4346,4058,5789,4894,4695,5843,3409,6698,7517,5809,5640,6396,4972,4373,6000,1676,2078,6042,4962,5591,6002,5219,7520,1281,3650,3081,6866,8179,4862,4438,4469,5077,6687,3541,6485,3961,4676,6349,7779,7656,5857,5715,5023,2359,3106,2199,3022,6166,5073,4599,5698,5507,5677,4531,4858,3727,5352,4949,3749,3292,4013,7884,6781,4707,3630,4116
"27","Longwood",40.8248438,-73.8915875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,1426,4192,5908,3698,1121,2709,4951,4458,3782,1477,5301,1739,1710,1103,4460,4554,5385,4808,2044,1771,1916,4532,5018,5081,4406,4549,5098,2352,2625,2518,1436,1859,3043,3219,2383,2401,5114,5188,5065,1969,2073,1806,3787,3276,3767,3125,2781,3188,3458,1919,4145,1754,3889,2163,2701,1352,3551,2331,2432,4281,5086,4127,4295,4626,2158
"28","Yorkville",40.7762231,-73.9492079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,3464,5060,3030,2528,2554,3561,3730,3114,1431,4633,1914,1656,2775,4035,4333,4717,3722,2396,3064,3216,3774,4550,4533,3828,3911,4500,1918,2149,2180,2673,2935,3073,3121,1865,1793,3364,4520,4397,2740,2805,1482,3139,2638,3402,2907,2743,2490,2850,3159,3297,2369,3041,2002,2661,1929,2763,1603,1704,3673,4252,4138,3267,3898,1820
"29","Upper East Side-Carnegie Hill",40.784774,-73.9492428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,4760,2820,1988,2251,4133,3430,3174,891,3875,1823,1681,2415,3825,3736,4417,3422,2096,2764,2537,3474,4290,4199,3828,3761,4200,1918,1849,1880,2133,3920,2308,2787,1565,1733,3064,4220,4097,2765,2503,993,3109,1978,3192,2757,2383,2190,2820,2459,3340,1789,2741,1646,1966,1389,2836,1753,1309,3920,3952,3838,3400,3657,1520
"30","Windsor Terrace",40.6539346,-73.9756567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4047,4484,4785,3821,2036,3790,1282,3966,2124,3538,5160,4702,5223,3424,2908,3757,4383,4674,3621,2875,5737,3625,3079,1759,4069,2124,2189,1981,4960,5608,3487,5002,3552,2520,2701,4016,3780,6018,4099,3270,3947,3455,5007,3664,4694,1657,2653,3832,1444,4244,1677,3182,4189,4126,1841,1699,2461,2360,4759,2315,1444,5470,1851
"31","Hammels-Arverne-Edgemere",40.5925731,-73.7783688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6055,6492,4414,5384,5488,4008,5649,5486,4996,6348,6280,3472,4232,4410,3150,5871,6342,5289,5862,2226,1919,3013,4596,7987,3762,3812,3759,6358,5530,4184,6400,4860,3738,4924,5897,6041,6572,5827,5028,5671,5633,3797,4983,6212,3325,3955,6935,4162,5852,3340,5120,5159,5284,3126,3367,4069,2745,5602,4883,4012,2455,3877
"32","Rikers Island",40.7931277,-73.88601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597,2446,5704,5211,4475,3273,5626,2994,4344,3904,4275,4505,5561,5520,3615,4935,3246,5435,3392,5115,4829,5452,7022,3345,3600,3706,3892,5250,3268,4986,1818,3304,5689,6001,5878,5267,4026,3383,3180,2679,4020,2948,3765,3761,3174,2903,4791,2663,3511,3539,1255,3917,4364,2904,2154,4734,5553,5049,4731,4513,3379
"33","Hunts Point",40.8120246,-73.8801301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3291,6450,5417,4334,1981,5712,2698,2359,2332,5506,5422,5767,5589,3403,2979,3672,5331,4528,6416,5665,5701,6237,3581,3789,4094,2367,2848,4068,4062,3342,3270,5934,6147,5730,2892,2995,2765,4806,3738,4256,3743,3531,3969,3938,2651,5104,3334,4818,2671,3460,1889,4450,3968,3129,5720,5592,5026,5294,5687,3735
"34","Jackson Heights",40.7556818,-73.8830701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967,4924,4188,3617,5086,2822,3455,4133,3005,3109,5527,4411,3729,4331,3535,5178,2531,3556,3424,4524,5553,2610,3339,3119,3738,3936,1738,5229,1667,2987,5470,5843,5720,3852,3084,2921,3327,982,2268,1663,4558,3174,2475,3666,3974,4118,2933,2878,1110,3296,3739,2928,1698,3452,5683,5556,4281,3014,2662
"35","Bath Beach",40.602196,-74.0035709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,2874,5005,1920,4337,4880,5492,4788,4076,3595,4422,5578,5683,4630,2336,3671,4247,3222,629,3545,3163,3166,2919,6059,5901,5131,6071,4351,3408,1173,2501,2645,6123,5528,4369,5196,4764,4695,5063,5733,3239,3512,4931,2010,5343,2911,4221,4470,5165,2579,2889,3920,3771,2266,1938,1913,4415,2950
"36","Old Town-Dongan Hills-South Beach",40.588849,-74.09609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922,4941,3922,4456,4960,5572,6499,6410,5169,5199,5163,5831,4807,391,4483,5059,5445,2707,1462,3893,3622,3671,5478,4582,5155,6010,4328,3178,2445,1834,1460,5864,5647,4252,6034,5126,7060,5725,5832,3688,4714,4910,2065,5252,3639,4109,4729,4370,3627,2585,3822,4427,300,2085,2125,6677,3549
"37","Flatbush",40.6409217,-73.9624327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,1921,3249,5201,5013,3984,3023,1874,2451,4304,4835,3600,3601,2618,3194,1911,2303,4020,2350,2455,1823,5001,3933,4353,5258,3263,2261,2255,4388,4265,5155,4440,3526,3831,3676,3857,4005,4795,2377,3431,3903,1965,4195,1649,3378,3900,4077,1204,1888,2892,2371,4640,2896,2025,3302,1973
"38","Melrose South-Mott Haven North",40.825761,-73.915231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,1891,2171,2217,4823,4289,5444,4816,1883,1416,1826,4451,5277,5174,4725,4556,5327,2582,2636,2848,2331,840,3005,2545,2642,2795,5531,5447,5324,3816,2395,2564,3568,3235,4209,3744,2122,2985,3687,1803,3732,1847,3908,1424,2653,1360,3303,2440,2284,4300,5089,4693,3822,4812,2417
"39","Ocean Hill",40.5839897,-73.967075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4470,5502,6230,5372,4660,2473,3717,5399,5510,4711,4339,3603,4355,2810,1719,4481,3050,3307,3052,6016,6064,5179,5418,4338,3607,1993,4607,4307,6666,5711,4146,5269,4989,5511,4581,5560,3221,3767,5543,1944,5050,2474,4028,5035,4882,2841,3525,3519,3748,4758,3178,2215,4277,2837
"40","Morningside Heights",40.8089564,-73.9624327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091,2550,4325,3306,4750,4179,2037,2704,600,4464,3171,4593,4118,3961,4735,1704,2247,2253,2831,3371,3247,2075,2187,2113,4766,5067,4944,3592,1472,1238,3139,2928,3351,2451,2732,2543,2811,1494,3827,1317,3155,779,2492,2677,2633,2174,1964,3603,4168,4079,3600,4103,1948
"41","Soundview-Bruckner",40.8251988,-73.8668046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,4130,4328,6919,5702,3276,3026,3087,5497,4646,6679,5971,5514,7572,4001,3932,3963,1426,3267,3719,4039,2718,2946,5325,6123,6000,1948,2553,3099,3579,2892,3463,2890,3746,4202,4843,2884,4697,2704,3834,2712,2695,2122,4296,3836,2691,5235,5855,4894,5110,6417,3603
"42","Allerton-Pelham Gardens",40.8569374,-73.8564634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5392,5382,5818,5385,1430,1505,2608,5360,5667,5991,5324,5377,5926,3414,3413,3682,1096,1400,4302,2307,3301,3229,5691,6016,5893,1300,1286,2325,4093,2686,3327,2631,2142,3870,4256,1719,4803,1549,4271,1791,3252,2735,4319,2979,3080,4959,5748,4667,4926,5519,3016
