"","OBJECTID","ID","NAME","ALT_NAME","CROSS_ST","LONG_NAME","LABEL","BOROUGH","NGHBHD","ROUTES","TRANSFERS","COLOR","EXPRESS","CLOSED","lng","lat","UNIQUEID"
"58",58,65,"Morris Park",NA,"Esplanade","Morris Park (5) Bronx","Morris Park (5)","Bronx",NA,"5","5","GREEN",NA,NA,-73.8603589994332,40.8544720012067,"58"
"59",59,148,"Sound View Ave","Morrison Ave","Westchester Ave","Sound View Ave / Morrison Ave (6) Bronx","Sound View Ave / Morrison Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.8744749994454,40.8295270013266,"59"
"60",60,137,"Mosholu Pky",NA,"Jerome Ave","Mosholu Pky (4) Bronx","Mosholu Pky (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.8846350003833,40.879740000798,"60"
"61",61,130,"Mt Eden Ave",NA,"Jerome Ave","Mt Eden Ave (4) Bronx","Mt Eden Ave (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.9147460011611,40.8442920012635,"61"
"63",63,156,"Pelham Bay Park",NA,"Bruckner Exy","Pelham Bay Park (6) Bronx","Pelham Bay Park (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.8270949988928,40.852928001751,"63"
"64",64,66,"Pelham Pky",NA,"Williamsbridge Rd","Pelham Pky (5) Bronx","Pelham Pky (5)","Bronx",NA,"5","5","GREEN",NA,NA,-73.8560793259687,40.8581697846295,"64"
"68",68,149,"St Lawrence Ave",NA,"Westchester Ave","St Lawrence Ave (6) Bronx","St Lawrence Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.8672804281559,40.8315984140132,"68"
"70",70,153,"Westchester Sq","E Tremont Ave","Westchester Ave","Westchester Sq / E Tremont Ave (6) Bronx","Westchester Sq / E Tremont Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.8420114686907,40.8406096078233,"70"
"71",71,146,"Whitlock Ave",NA,"Westchester Ave","Whitlock Ave (6) Bronx","Whitlock Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.8860900005009,40.8275660010254,"71"
"72",72,138,"Woodlawn",NA,"Jerome Ave","Woodlawn (4) Bronx","Woodlawn (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.8787700002768,40.8860190014522,"72"
"73",73,152,"Zerega Ave",NA,"Westchester Ave","Zerega Ave (6) Bronx","Zerega Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.846694333434,40.8367705313445,"73"
"74",74,344,"15th St","Prospect Park","Prospect Park West","15th St / Prospect Park (F) Brooklyn","15th St / Prospect Park (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9794283452442,40.6607870529522,"74"
"76",76,430,"18th Ave",NA,"64th St","18th Ave (N) Brooklyn","18th Ave (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-73.9893140502698,40.6200001630917,"76"
"77",77,348,"18th Ave",NA,"McDonald Ave","18th Ave (F) Brooklyn","18th Ave (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9771326059999,40.6307412275426,"77"
"78",78,431,"20th Ave",NA,"64th St","20th Ave (N) Brooklyn","20th Ave (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-73.9849495803293,40.617358917033,"78"
"80",80,425,"25th Ave",NA,"86th St","25th Ave (D) Brooklyn","25th Ave (D)","Brooklyn",NA,"D","D","ORANGE",NA,NA,-73.9871770570027,40.5979110567804,"80"
"83",83,408,"45th St",NA,"4th Ave","45th St (R) Brooklyn","45th St (R)","Brooklyn",NA,"R","R","YELLOW",NA,NA,-74.0096664915987,40.6492609914081,"83"
"84",84,342,"4th Ave","9th St","9th St","4th Ave / 9th St (F) Brooklyn","4th Ave / 9th St (F)","Brooklyn",NA,"F","D,F,M,R","ORANGE",NA,NA,-73.9890556211537,40.6699289109744,"84"
"86",86,409,"53rd St",NA,"4th Ave","53rd St (R) Brooklyn","53rd St (R)","Brooklyn",NA,"R","R","YELLOW",NA,NA,-74.0143222247892,40.6447953754617,"86"
"91",91,412,"77th St",NA,"4th Ave","77th St (R) Brooklyn","77th St (R)","Brooklyn",NA,"R","R","YELLOW",NA,NA,-74.0256475848183,40.6293819154295,"91"
"94",94,343,"7th Ave",NA,"9th St","7th Ave (F) Brooklyn","7th Ave (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9815778839182,40.6668867140502,"94"
