"","OBJECTID","ID","NAME","ALT_NAME","CROSS_ST","LONG_NAME","LABEL","BOROUGH","NGHBHD","ROUTES","TRANSFERS","COLOR","EXPRESS","CLOSED","lng","lat","UNIQUEID"
"222",222,87,"Rockaway Ave",NA,"Livonia Ave","Rockaway Ave (3) Brooklyn","Rockaway Ave (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.908866178908,40.6625637028797,"222"
"223",223,462,"Rockaway Pky","Canarsie","Glenwood Rd","Rockaway Pky / Canarsie (L) Brooklyn","Rockaway Pky / Canarsie (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9025914494519,40.6454142619913,"223"
"224",224,86,"Saratoga Ave",NA,"Livonia Ave","Saratoga Ave (3) Brooklyn","Saratoga Ave (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.9155475191873,40.661556947309,"224"
"226",226,233,"Shepherd Ave",NA,"Pitkin Ave","Shepherd Ave (C) Brooklyn","Shepherd Ave (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.8807939991843,40.6741160001837,"226"
"229",229,458,"Sutter Ave",NA,"Van Sinderen Ave","Sutter Ave (L) Brooklyn","Sutter Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9017350006931,40.6684180002858,"229"
"230",230,85,"Sutter Ave","Rutland Rd","E 98th St","Sutter Ave / Rutland Rd (3) Brooklyn","Sutter Ave / Rutland Rd (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.9228277760958,40.6649072248909,"230"
"234",234,232,"Van Siclen Ave",NA,"Pitkin Ave","Van Siclen Ave (C) Brooklyn","Van Siclen Ave (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.8902839994592,40.6727240017446,"234"
"236",236,90,"Van Siclen Ave",NA,"Livonia Ave","Van Siclen Ave (3) Brooklyn","Van Siclen Ave (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.8885419160523,40.6655593881874,"236"
"238",238,454,"Wilson Ave",NA,"Moffat St","Wilson Ave (L) Brooklyn","Wilson Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9042929208304,40.6885282168032,"238"
"240",240,334,"Wyckoff Ave","Myrtle Ave","Myrtle Ave","Wyckoff Ave / Myrtle Ave (M) Brooklyn","Wyckoff Ave / Myrtle Ave (M)","Brooklyn",NA,"M","L,M","BROWN",NA,NA,-73.9111998306395,40.6995573832287,"240"
"241",241,303,"York St",NA,"Jay St","York St (F) Brooklyn","York St (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9867441210238,40.7015188543331,"241"
"242",242,121,"103rd St",NA,"Lexington Ave","103rd St (6) Manhattan","103rd St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9476676427266,40.7903291199624,"242"
"244",244,22,"103rd St",NA,"Broadway","103rd St (1) Manhattan","103rd St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9685835605716,40.7991214805627,"244"
"245",245,122,"110th St",NA,"Lexington Ave","110th St (6) Manhattan","110th St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9443902896815,40.794815350841,"245"
"249",249,123,"116th St",NA,"Lexington Ave","116th St (6) Manhattan","116th St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9416150002444,40.7986290003224,"249"
"251",251,24,"116th St","Columbia University","Broadway","116th St / Columbia University (1) Manhattan","116th St / Columbia University (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9639111552716,40.8079940216809,"251"
"255",255,25,"125th St",NA,"Broadway","125th St (1) Manhattan","125th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9582909853416,40.8156709508745,"255"
"258",258,26,"137th St","City College","Broadway","137th St / City College (1) Manhattan","137th St / City College (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9541244470715,40.8213966332831,"258"
"259",259,43,"145th St",NA,"Lenox Ave","145th St (3) Manhattan","145th St (3)","Manhattan",NA,"3","3","RED","express",NA,-73.936235020122,40.8204131516344,"259"
"261",261,27,"145th St",NA,"Broadway","145th St (1) Manhattan","145th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9504384407237,40.8264498955664,"261"
"262",262,44,"148th St","Lenox Term","7th Ave","148th St / Lenox Term (3) Manhattan","148th St / Lenox Term (3)","Manhattan",NA,"3","3","RED","express",NA,-73.9372360176491,40.8241081524111,"262"
"267",267,198,"155th St",NA,"St. Nicholas Ave","155th St (C) Manhattan","155th St (C)","Manhattan",NA,"C","C","BLUE",NA,NA,-73.9413907827683,40.8308788247197,"267"
"268",268,28,"157th St",NA,"Broadway","157th St (1) Manhattan","157th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9448747774345,40.8340621548572,"268"
"269",269,199,"163rd St","Amsterdam Ave","St. Nicholas Ave","163rd St / Amsterdam Ave (C) Manhattan","163rd St / Amsterdam Ave (C)","Manhattan",NA,"C","C","BLUE",NA,NA,-73.9400979992657,40.8369340010319,"269"
"271",271,29,"168th St","Washington Hts","Broadway","168th St / Washington Hts (1) Manhattan","168th St / Washington Hts (1)","Manhattan",NA,"1","A,C,1","RED",NA,NA,-73.9397548441526,40.8410742326615,"271"
"272",272,201,"175th St",NA,"Ft Washington Ave","175th St (A) Manhattan","175th St (A)","Manhattan",NA,"A","A","BLUE","express",NA,-73.9400504394409,40.8465382693705,"272"
"273",273,202,"181st St",NA,"Ft Washington Ave","181st St (A) Manhattan","181st St (A)","Manhattan",NA,"A","A","BLUE","express",NA,-73.938280539577,40.8509304582236,"273"
"274",274,30,"181st St",NA,"St. Nicholas Ave","181st St (1) Manhattan","181st St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9337183752938,40.8493365387269,"274"
"275",275,10,"18th St",NA,"7th Ave","18th St (1) Manhattan","18th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9978930000735,40.7410290016557,"275"
"276",276,203,"190th St",NA,"Ft Washington Ave","190th St (A) Manhattan","190th St (A)","Manhattan",NA,"A","A","BLUE","express",NA,-73.9355834692238,40.8571284527769,"276"
"277",277,31,"191st St",NA,"St. Nicholas Ave","191st St (1) Manhattan","191st St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9291819296902,40.8555457944974,"277"
"278",278,443,"1st Ave",NA,"14 St","1st Ave (L) Manhattan","1st Ave (L)","Manhattan",NA,"L","L","GREY",NA,NA,-73.9825386727408,40.7313540687081,"278"
"279",279,205,"207th St","Inwood","Broadway","207th St / Inwood (A) Manhattan","207th St / Inwood (A)","Manhattan",NA,"A","A","BLUE","express",NA,-73.9211394949742,40.8677109722101,"279"
"280",280,33,"207th St",NA,"10th Ave","207th St (1) Manhattan","207th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9189195994605,40.8644579910982,"280"
"281",281,34,"215th St",NA,"10th Ave","215th St (1) Manhattan","215th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9151923069736,40.8695258356309,"281"
"282",282,35,"225th St","Marble Hill","Broadway","225th St / Marble Hill (1) Manhattan","225th St / Marble Hill (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9097242395158,40.8746309660587,"282"
"283",283,111,"23rd St",NA,"Park Ave","23rd St (6) Manhattan","23rd St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9863785077119,40.7401718199392,"283"
"287",287,11,"23rd St",NA,"7th Ave","23rd St (1) Manhattan","23rd St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9956510007463,40.7440900013158,"287"
"288",288,112,"28th St",NA,"Park Ave","28th St (6) Manhattan","28th St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9840772875644,40.7433167209165,"288"
"290",290,12,"28th St",NA,"7th Ave","28th St (1) Manhattan","28th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9933487085554,40.7472409212842,"290"
"292",292,113,"33rd St",NA,"Park Ave","33rd St (6) Manhattan","33rd St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9818350446626,40.7464088600852,"292"
"296",296,442,"3rd Ave",NA,"14 St","3rd Ave (L) Manhattan","3rd Ave (L)","Manhattan",NA,"L","L","GREY",NA,NA,-73.9871794982052,40.7332889964129,"296"
"302",302,15,"50th St",NA,"Broadway","50th St (1) Manhattan","50th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.984046747086,40.7614222736075,"302"
"303",303,115,"51st St",NA,"Lexington Ave","51st St (6) Manhattan","51st St (6)","Manhattan",NA,"6","E,V,6","GREEN",NA,NA,-73.9719189989557,40.7571230008319,"303"
"305",305,299,"57th St",NA,"6th Ave","57th St (F) Manhattan","57th St (F)","Manhattan",NA,"F","F","ORANGE",NA,NA,-73.9772016236655,40.7643094825711,"305"
"308",308,16,"59th St","Columbus Circle","Broadway","59th St / Columbus Circle (1) Manhattan","59th St / Columbus Circle (1)","Manhattan",NA,"1","A,B,C,D,1","RED","express",NA,-73.9817853293899,40.7679833177099,"308"
"311",311,158,"5th Ave",NA,"42nd St","5th Ave (7) Manhattan","5th Ave (7)","Manhattan",NA,"7","B,D,F,V,7","PURPLE","express",NA,-73.980915247002,40.7534340556809,"311"
"312",312,17,"66th St","Lincoln Center","Broadway","66th St / Lincoln Center (1) Manhattan","66th St / Lincoln Center (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9822212671726,40.7738652562259,"312"
"313",313,117,"68th St","Hunter College","Lexington Ave","68th St / Hunter College (6) Manhattan","68th St / Hunter College (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9640568168716,40.7678740853292,"313"
"316",316,118,"77th St",NA,"Lexington Ave","77th St (6) Manhattan","77th St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9598539687198,40.773656330631,"316"
"317",317,19,"79th St",NA,"Broadway","79th St (1) Manhattan","79th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9799814178087,40.7838396197351,"317"
"322",322,20,"86th St",NA,"Broadway","86th St (1) Manhattan","86th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9764914567523,40.7883206401474,"322"
"325",325,120,"96th St",NA,"Lexington Ave","96th St (6) Manhattan","96th St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9509278613271,40.7858504958593,"325"
"328",328,109,"Astor Pl",NA,"4th Ave","Astor Pl (6) Manhattan","Astor Pl (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9914073808496,40.7298475720151,"328"
"329",329,108,"Bleecker St","Broadway-Lafayette St","Lafayette Ave","Bleecker St / Broadway-Lafayette St (6) Manhattan","Bleecker St / Broadway-Lafayette St (6)","Manhattan",NA,"6","B,D,F,V,6","GREEN",NA,NA,-73.9946499999534,40.725926000958,"329"
"336",336,106,"Canal St",NA,"Lafayette Ave","Canal St (6) Manhattan","Canal St (6)","Manhattan",NA,"6","J,M,N,Q,R,W,Z,6","GREEN",NA,NA,-74.0005290009189,40.7184350014147,"336"
"340",340,6,"Canal St",NA,"Varick St","Canal St (1) Manhattan","Canal St (1)","Manhattan",NA,"1","1","RED",NA,NA,-74.0063489995216,40.7225810012215,"340"
"341",341,23,"Cathedral Pky","110th St","Broadway","Cathedral Pky / 110th St (1) Manhattan","Cathedral Pky / 110th St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9667061792807,40.8041632428301,"341"
"345",345,8,"Christopher St","Sheridan Sq","7th Ave","Christopher St / Sheridan Sq (1) Manhattan","Christopher St / Sheridan Sq (1)","Manhattan",NA,"1","1","RED",NA,NA,-74.0027786042468,40.7336112173407,"345"
"348",348,204,"Dyckman St",NA,"Broadway","Dyckman St (A) Manhattan","Dyckman St (A)","Manhattan",NA,"A","A","BLUE","express",NA,-73.9273123522747,40.8655018749373,"348"
"349",349,32,"Dyckman St",NA,"Nagle Ave","Dyckman St (1) Manhattan","Dyckman St (1)","Manhattan",NA,"1","1","RED",NA,NA,-73.9246790961892,40.8614809930983,"349"
"350",350,302,"East Broadway",NA,"Canal St","East Broadway (F) Manhattan","East Broadway (F)","Manhattan",NA,"F","F","ORANGE",NA,NA,-73.9902103316628,40.7142379138617,"350"
"351",351,5,"Franklin St",NA,"Varick St","Franklin St (1) Manhattan","Franklin St (1)","Manhattan",NA,"1","1","RED",NA,NA,-74.0069272357493,40.7191498890299,"351"
"356",356,159,"Grand Central",NA,"42nd St","Grand Central (7) Manhattan","Grand Central (7)","Manhattan",NA,"7","S,4,5,6,7","PURPLE","express",NA,-73.9760409996416,40.7514310007061,"356"
"357",357,100,"Grand Central","42nd St","Park Ave","Grand Central / 42nd St (S) Manhattan","Grand Central / 42nd St (S)","Manhattan",NA,"S","S,4,5,6,7","GREY","express",NA,-73.9777824690682,40.7522191942327,"357"
"359",359,7,"Houston St",NA,"Varick St","Houston St (1) Manhattan","Houston St (1)","Manhattan",NA,"1","1","RED",NA,NA,-74.0053120407212,40.7286303099441,"359"
"361",361,441,"Broadway Jct","Eastern Pky","Eastern Pky","Broadway Jct / Eastern Pky (L) Brooklyn","Broadway Jct / Eastern Pky (L)","Brooklyn",NA,"L","A,C,J,L,Z","GREY","express",NA,-73.9032310007463,40.6787620020277,"361"
"362",362,466,"Lexington Ave","63rd St","63rd St","Lexington Ave / 63rd St (F) Manhattan","Lexington Ave / 63rd St (F)","Manhattan",NA,"F","F,N,R,W,4,5,6","ORANGE",NA,NA,-73.9663578011574,40.7646842857931,"362"
"367",367,467,"Roosevelt Island",NA,NA,"Roosevelt Island (F) Manhattan","Roosevelt Island (F)","Manhattan",NA,"F","F","ORANGE",NA,NA,-73.9534080945673,40.7592407040485,"367"
"369",369,107,"Spring St",NA,"Lafayette Ave","Spring St (6) Manhattan","Spring St (6)","Manhattan",NA,"6","6","GREEN",NA,NA,-73.9971329997555,40.7222910011016,"369"
"376",376,174,"103rd St","Corona Plaza","Roosevelt Ave","103rd St / Corona Plaza (7) Queens","103rd St / Corona Plaza (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.8627320130178,40.749864592111,"376"
"377",377,239,"104th St",NA,"Liberty Ave","104th St (A) Queens","104th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.836983544795,40.6819924407092,"377"
"379",379,240,"111th St",NA,"Liberty Ave","111th St (A) Queens","111th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.8311043148525,40.6847196965784,"379"
"380",380,330,"111th St",NA,"Jamaica Ave","111th St (J) Queens","111th St (J)","Queens",NA,"J","J","BROWN",NA,NA,-73.8371731380902,40.6969184269953,"380"
"381",381,175,"111th St",NA,"Roosevelt Ave","111th St (7) Queens","111th St (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.855830980291,40.7515659108868,"381"
"383",383,491,"Cortlandt St",NA,"West Broadway","Cortlandt St (1) Manhattan","Cortlandt St (1)","Manhattan",NA,"1","1","CLOSED",NA,"yes",-74.0124489870128,40.7108421120015,"383"
"384",384,277,"169th St",NA,"Hillside Ave","169th St (F) Queens","169th St (F)","Queens",NA,"F","F","ORANGE",NA,NA,-73.793018766218,40.7106706451709,"384"
"385",385,278,"179th St","Jamaica","Hillside Ave","179th St / Jamaica (F) Queens","179th St / Jamaica (F)","Queens",NA,"F","F","ORANGE",NA,NA,-73.7844582046471,40.7124842303848,"385"
"386",386,468,"21st St",NA,"41st Ave","21st St (F) Queens","21st St (F)","Queens",NA,"F","F","ORANGE",NA,NA,-73.9424096559806,40.7540075919922,"386"
"387",387,289,"21st St",NA,"Jackson Ave","21st St (G) Queens","21st St (G)","Queens",NA,"G","G","LIME",NA,NA,-73.9486240012504,40.7446320008227,"387"
"390",390,164,"33rd St",NA,"Queens Blvd","33rd St (7) Queens","33rd St (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.9316824410301,40.7446339406321,"390"
"394",394,165,"40th St",NA,"Queens Blvd","40th St (7) Queens","40th St (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.9242650143992,40.7437827867661,"394"
"395",395,162,"45th Rd","Court House Sq",NA,"45th Rd / Court House Sq (7) Queens","45th Rd / Court House Sq (7)","Queens",NA,"7","E,G,V,7","PURPLE",NA,NA,-73.945493999123,40.7462360010659,"395"
"397",397,166,"46th St",NA,"Queens Blvd","46th St (7) Queens","46th St (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.9186967364806,40.7431474212936,"397"
"398",398,167,"52nd St",NA,"Roosevelt Ave","52nd St (7) Queens","52nd St (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.9124890004933,40.7441640008719,"398"
"399",399,168,"61st St","Woodside","Roosevelt Ave","61st St / Woodside (7) Queens","61st St / Woodside (7)","Queens",NA,"7","7","PURPLE","express",NA,-73.9033889991841,40.745586298268,"399"
"403",403,169,"69th St",NA,"Roosevelt Ave","69th St (7) Queens","69th St (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.8963164131434,40.7463298097851,"403"
"405",405,170,"74th St-Broadway","Jackson Hts-Roosevelt Ave","Roosevelt Ave","74th St-Broadway (7) Queens","74th St-Broadway (7)","Queens",NA,"7","E,F,G,R,V,7","PURPLE",NA,NA,-73.8914382731124,40.7468505697143,"405"
"408",408,236,"80th St",NA,"Liberty Ave","80th St (A) Queens","80th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.8577955091291,40.6794587559405,"408"
"409",409,171,"82nd St","Jackson Hts","Roosevelt Ave","82nd St / Jackson Hts (7) Queens","82nd St / Jackson Hts (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.8839278072164,40.7476264975487,"409"
"410",410,327,"85th St","Forest Pky","Jamaica Ave","85th St / Forest Pky (J) Queens","85th St / Forest Pky (J)","Queens",NA,"J","J","BROWN",NA,NA,-73.8600869997418,40.6924270003842,"410"
"411",411,237,"88th St",NA,"Liberty Ave","88th St (A) Queens","88th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.8506533791364,40.6798949771219,"411"
"412",412,172,"90th St","Elmhurst Ave","Roosevelt Ave","90th St / Elmhurst Ave (7) Queens","90th St / Elmhurst Ave (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.8763550144466,40.7484326093642,"412"
"413",413,242,"Aqueduct","North Conduit Ave","North Conduit Ave","Aqueduct / North Conduit Ave (A) Queens","Aqueduct / North Conduit Ave (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.8333474514168,40.6667886683304,"413"
"416",416,249,"Beach 25th St",NA,"Rockaway Freeway","Beach 25th St (A) Queens","Beach 25th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.7615416160762,40.5998567451932,"416"
"417",417,248,"Beach 36th St",NA,"Rockaway Freeway","Beach 36th St (A) Queens","Beach 36th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.7685364688972,40.595174929642,"417"
"418",418,247,"Beach 44th St",NA,"Rockaway Freeway","Beach 44th St (A) Queens","Beach 44th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.7753163286344,40.5930115571386,"418"
"419",419,246,"Beach 60th St",NA,"Rockaway Freeway","Beach 60th St (A) Queens","Beach 60th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.7896714402748,40.5923403268167,"419"
"420",420,245,"Beach 67th St",NA,"Rockaway Freeway","Beach 67th St (A) Queens","Beach 67th St (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.7960223048701,40.5910364986803,"420"
"425",425,290,"Court Sq","Long Island City","45th Rd","Court Sq / Long Island City (G) Queens","Court Sq / Long Island City (G)","Queens",NA,"G","E,G,V,7","LIME",NA,NA,-73.9439430004726,40.746516001404,"425"
"428",428,250,"Far Rockaway","Mott Ave","Mott Ave","Far Rockaway / Mott Ave (A) Queens","Far Rockaway / Mott Ave (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.7540325012733,40.6047976391058,"428"
"429",429,336,"Forest Ave",NA,"67th St","Forest Ave (M) Queens","Forest Ave (M)","Queens",NA,"M","M","BROWN",NA,NA,-73.9019243961459,40.7046897685891,"429"
"430",430,337,"Fresh Pond Rd",NA,"67th St","Fresh Pond Rd (M) Queens","Fresh Pond Rd (M)","Queens",NA,"M","M","BROWN",NA,NA,-73.8966934203242,40.706003701484,"430"
"432",432,243,"Howard Beach","JFK Airport","159th Ave","Howard Beach / JFK Airport (A) Queens","Howard Beach / JFK Airport (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.8303342863906,40.6605310376474,"432"
"433",433,161,"Hunters Point Ave",NA,"49th Ave/21st St","Hunters Point Ave (7) Queens","Hunters Point Ave (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.9493783085606,40.742112129122,"433"
"435",435,463,"Van Wyck","Jamaica","Queens Blvd","Van Wyck / Jamaica (E) Queens","Van Wyck / Jamaica (E)","Queens",NA,"E","E","BLUE","express",NA,-73.8168566813135,40.7024399537921,"435"
"436",436,173,"Junction Blvd",NA,"Roosevelt Ave","Junction Blvd (7) Queens","Junction Blvd (7)","Queens",NA,"7","7","PURPLE","express",NA,-73.8694220273208,40.7491579672528,"436"
"437",437,241,"Lefferts Blvd","Ozone Park","Liberty Ave","Lefferts Blvd / Ozone Park (A) Queens","Lefferts Blvd / Ozone Park (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.8241863790204,40.6862287779117,"437"
"438",438,177,"Main St","Flushing","Roosevelt Ave","Main St / Flushing (7) Queens","Main St / Flushing (7)","Queens",NA,"7","7","PURPLE","express",NA,-73.8301381468655,40.7595695205456,"438"
"439",439,338,"Metropolitan Ave","Middle Village","67th St","Metropolitan Ave / Middle Village (M) Queens","Metropolitan Ave / Middle Village (M)","Queens",NA,"M","M","BROWN",NA,NA,-73.8891759199306,40.7122933022803,"439"
"441",441,276,"Parsons Blvd",NA,"Hillside Ave","Parsons Blvd (F) Queens","Parsons Blvd (F)","Queens",NA,"F","F","ORANGE",NA,NA,-73.8027863266641,40.7077106565976,"441"
"444",444,238,"Rockaway Blvd",NA,"Liberty Ave","Rockaway Blvd (A) Queens","Rockaway Blvd (A)","Queens",NA,"A","A","BLUE",NA,NA,-73.8436979130631,40.6804778492035,"444"
"447",447,335,"Seneca Ave",NA,"Palmetto St","Seneca Ave (M) Queens","Seneca Ave (M)","Queens",NA,"M","M","BROWN",NA,NA,-73.9076920367078,40.702812599296,"447"
"450",450,275,"Sutphin Blvd",NA,"Hillside Ave","Sutphin Blvd (F) Queens","Sutphin Blvd (F)","Queens",NA,"F","F","ORANGE",NA,NA,-73.8096929438519,40.7057495172341,"450"
"453",453,160,"Vernon Blvd","Jackson Ave","Jackson Ave","Vernon Blvd / Jackson Ave (7) Queens","Vernon Blvd / Jackson Ave (7)","Queens",NA,"7","7","PURPLE",NA,NA,-73.9538919220001,40.7426737809299,"453"
"454",454,176,"Willets Point Blvd","Shea Stadium","Roosevelt Ave","Willets Point Blvd / Shea Stadium (7) Queens","Willets Point Blvd / Shea Stadium (7)","Queens",NA,"7","7","PURPLE","express",NA,-73.8432085591657,40.7553375648287,"454"
"457",457,483,"Annadale",NA,NA,"Annadale, Staten Island","Annadale","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1777909089856,40.5407483423651,"457"
"458",458,489,"Atlantic",NA,NA,"Atlantic, Staten Island","Atlantic","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.2456814137371,40.5155005885622,"458"
"459",459,480,"Bay Terrace",NA,NA,"Bay Terrace, Staten Island","Bay Terrace","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1368590331868,40.5565481398522,"459"
"460",460,472,"Clifton",NA,NA,"Clifton, Staten Island","Clifton","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.0717735863758,40.6220391169262,"460"
"461",461,475,"Dongan Hills",NA,NA,"Dongan Hills, Staten Island","Dongan Hills","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.0957821207109,40.5890555810767,"461"
"462",462,482,"Eltingville",NA,NA,"Eltingville, Staten Island","Eltingville","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1649626297763,40.5444862820014,"462"
"463",463,477,"Grant City",NA,NA,"Grant City, Staten Island","Grant City","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1089404873502,40.5793488816965,"463"
"464",464,473,"Grasmere",NA,NA,"Grasmere, Staten Island","Grasmere","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.0838538114859,40.6033413808238,"464"
"465",465,481,"Great Kills",NA,NA,"Great Kills, Staten Island","Great Kills","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1508494061581,40.5515612648393,"465"
"466",466,484,"Huguenot",NA,NA,"Huguenot, Staten Island","Huguenot","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1923182516022,40.5335503680906,"466"
"467",467,476,"Jefferson Av",NA,NA,"Jefferson Av, Staten Island","Jefferson Av","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1026113510482,40.5839327553337,"467"
"468",468,488,"Nassau",NA,NA,"Nassau, Staten Island","Nassau","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.2385823323477,40.5180595304325,"468"
"469",469,478,"New Dorp",NA,NA,"New Dorp, Staten Island","New Dorp","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1166145196593,40.5738149211624,"469"
"470",470,479,"Oakwood Heights",NA,NA,"Oakwood Heights, Staten Island","Oakwood Heights","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.1263747951783,40.5648749779358,"470"
"471",471,474,"Old Town",NA,NA,"Old Town, Staten Island","Old Town","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.0878368916855,40.5960545917904,"471"
"472",472,486,"Pleasant Plains",NA,NA,"Pleasant Plains, Staten Island","Pleasant Plains","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.2169668885337,40.522919481365,"472"
"473",473,485,"Prince's Bay",NA,NA,"Prince's Bay, Staten Island","Prince's Bay","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.2004203752684,40.525511544665,"473"
"474",474,487,"Richmond Valley",NA,NA,"Richmond Valley, Staten Island","Richmond Valley","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.2289860456957,40.5197915633112,"474"
"475",475,469,"St George",NA,NA,"St George, Staten Island","St George","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.0742611150226,40.643365740449,"475"
"476",476,471,"Stapleton",NA,NA,"Stapleton, Staten Island","Stapleton","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.0752477449114,40.6277079532085,"476"
"477",477,470,"Tompkinsville",NA,NA,"Tompkinsville, Staten Island","Tompkinsville","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.0747234172051,40.6372304205686,"477"
"478",478,490,"Tottenville",NA,NA,"Tottenville, Staten Island","Tottenville","Staten Island",NA,NA,NA,"SI-BLUE",NA,NA,-74.2529136767024,40.5124155665045,"478"
"480",480,492,"World Trade Center","Chambers St","Church St","World Trade Center / Chambers St (E) Manhattan","World Trade Center / Chambers St (E)","Manhattan",NA,"E","A,C,E,2,3","BLUE",NA,NA,-74.0096360002177,40.712708001495,"480"
"482",482,904,"JFK Terminal 1",NA,NA,"JFK Terminal 1, Queens","JFK Terminal 1","Queens",NA,NA,NA,"AIR-BLUE",NA,NA,-73.7894582358111,40.6429766875904,"482"
"483",483,905,"JFK Terminal 2-3",NA,NA,"JFK Terminal 2-3, Queens","JFK Terminal 2-3","Queens",NA,NA,NA,"AIR-BLUE",NA,NA,-73.7874793002334,40.6417846139722,"483"
"484",484,906,"JFK Terminal 4",NA,NA,"JFK Terminal 4, Queens","JFK Terminal 4","Queens",NA,NA,NA,"AIR-BLUE",NA,NA,-73.7820131296516,40.6435075149824,"484"
