,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
1,370,157,Times Sq,1,370,7,seven
2,311,158,5th Ave,2,311,7,seven
3,356,159,Grand Central,3,356,7,seven
4,453,160,Vernon Blvd,4,453,7,seven
5,433,161,Hunters Point Ave,5,433,7,seven
6,395,162,45th Rd,6,395,7,seven
7,443,163,Queensboro Plz,7,443,7,seven
8,390,164,33rd St,8,390,7,seven
9,394,165,40th St,9,394,7,seven
10,397,166,46th St,10,397,7,seven
11,398,167,52nd St,11,398,7,seven
12,399,168,61st St,12,399,7,seven
13,403,169,69th St,13,403,7,seven
14,405,170,74th St-Broadway,14,405,7,seven
15,409,171,82nd St,15,409,7,seven
16,412,172,90th St,16,412,7,seven
17,436,173,Junction Blvd,17,436,7,seven
18,376,174,103rd St,18,376,7,seven
19,381,175,111th St,19,381,7,seven
20,454,176,Willets Point Blvd,20,454,7,seven
21,438,177,Main St,21,438,7,seven
