"","OBJECTID","ID","NAME","ROUTES"
"1",344,4,"Chambers St","3"
"2",265,9,"14th St","3"
"3",295,13,"34th St","3"
"4",315,18,"72nd St","3"
"5",327,21,"96th St","3"
"6",247,39,"110th St","3"
"7",248,40,"116th St","3"
"8",252,41,"125th St","3"
"9",257,42,"135th St","3"
"10",259,43,"145th St","3"
"11",262,44,"148th St","3"
"12",364,70,"Park Pl","3"
"13",354,71,"Fulton St","3"
"14",374,72,"Wall St","3"
"15",140,73,"Clark St","3"
"16",127,74,"Borough Hall","3"
"17",175,75,"Hoyt St","3"
"18",203,76,"Nevins St","3"
"19",104,77,"Atlantic Ave","3"
"20",123,78,"Bergen St","3"
"21",167,79,"Grand Army Plz","3"
"22",153,80,"Eastern Pky","3"
"23",161,81,"Franklin Ave","3"
"24",211,82,"Nostrand Ave","3"
"25",183,83,"Kingston Ave","3"
"26",233,84,"Utica Ave","3"
"27",230,85,"Sutter Ave","3"
"28",224,86,"Saratoga Ave","3"
"29",222,87,"Rockaway Ave","3"
"30",179,88,"Junius St","3"
"31",216,89,"Pennsylvania Ave","3"
"32",236,90,"Van Siclen Ave","3"
"33",205,91,"New Lots Ave","3"
"34",481,99,"Times Sq","3"
