,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
34,155,98,Flatbush Ave,1,98,5,five_main
33,208,97,Newkirk Ave,2,97,5,five_main
32,125,96,Beverly Rd,3,96,5,five_main
31,139,95,Church Ave,4,95,5,five_main
30,239,94,Winthrop St,5,94,5,five_main
29,228,93,Sterling St,6,93,5,five_main
28,217,92,President St,7,92,5,five_main
27,161,81,Franklin Ave,8,81,5,five_main
26,104,77,Atlantic Ave,9,77,5,five_main
25,203,76,Nevins St,10,76,5,five_main
35,126,101,Borough Hall,11,101,5,five_main
36,331,102,Bowling Green,12,102,5,five_main
37,373,103,Wall St,13,103,5,five_main
38,352,104,Fulton St,14,104,5,five_main
39,335,105,Brooklyn Bridge,15,105,5,five_main
40,263,110,14th St,16,110,5,five_main
41,355,114,Grand Central,17,114,5,five_main
42,306,116,59th St,18,116,5,five_main
43,320,119,86th St,19,119,5,five_main
44,253,124,125th St,20,124,5,five_main
45,4,125,138th St,21,125,5,five_main
1,6,45,149th St,22,45,5,five_main
2,27,46,3rd Ave,23,46,5,five_main
3,53,47,Jackson Ave,24,47,5,five_main
4,66,48,Prospect Ave,25,48,5,five_main
5,52,49,Intervale Ave,26,49,5,five_main
6,67,50,Simpson St,27,50,5,five_main
7,48,51,Freeman St,28,51,5,five_main
8,12,52,174th St,29,52,5,five_main
9,44,53,E Tremont Ave,30,53,5,five_main
10,43,54,E 180th St,31,54,5,five_main
20,58,65,Morris Park,1,65,5,dyre
21,64,66,Pelham Pky,2,66,5,dyre
22,49,67,Gun Hill Rd,3,67,5,dyre
23,29,68,Baychester Ave,4,68,5,dyre
24,39,69,Dyre Ave,5,69,5,dyre
11,32,55,Bronx Park East,1,55,5,white_plains
12,65,56,Pelham Pky,2,56,5,white_plains
13,28,57,Allerton Ave,3,57,5,white_plains
14,35,58,Burke Ave,4,58,5,white_plains
15,50,59,Gun Hill Rd,5,59,5,white_plains
16,18,60,219th St,6,60,5,white_plains
17,19,61,225th St,7,61,5,white_plains
18,21,62,233rd St,8,62,5,white_plains
19,62,63,Nereid Ave,9,63,5,white_plains
