,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
4,233,84,Utica Ave,1,84,4,four
3,161,81,Franklin Ave,2,81,4,four
2,104,77,Atlantic Ave,3,77,4,four
1,203,76,Nevins St,4,76,4,four
5,126,101,Borough Hall,5,101,4,four
6,331,102,Bowling Green,6,102,4,four
7,373,103,Wall St,7,103,4,four
8,352,104,Fulton St,8,104,4,four
9,335,105,Brooklyn Bridge,9,105,4,four
10,263,110,14th St,10,110,4,four
11,355,114,Grand Central,11,114,4,four
12,306,116,59th St,12,116,4,four
13,320,119,86th St,13,119,4,four
14,253,124,125th St,14,124,4,four
15,4,125,138th St,15,125,4,four
16,5,126,149th St,16,126,4,four
17,7,127,161st St,17,127,4,four
18,9,128,167th St,18,128,4,four
19,11,129,170th St,19,129,4,four
20,61,130,Mt Eden Ave,20,130,4,four
21,14,131,176th St,21,131,4,four
22,36,132,Burnside Ave,22,132,4,four
23,16,133,183rd St,23,133,4,four
24,47,134,Fordham Rd,24,134,4,four
25,55,135,Kingsbridge Rd,25,135,4,four
26,31,136,Bedford Park Blvd,26,136,4,four
27,60,137,Mosholu Pky,27,137,4,four
28,72,138,Woodlawn,28,138,4,four
